frame_id,track_id,detection_id,center_x,center_y,center_z,length,width,height,yaw_rad,yaw_deg,age,hits,missed,filtered_track_length
000250,3,3,39.97008032157373,16.688234747074695,1.022499993443489,3.6833304840751815,1.4430451968259552,1.3630000054836273,-1.0927241790387414,-62.608483630817624,1,1,0,3
000253,3,35,40.248377835771976,15.505565262013357,-0.42250001430511475,1.1109716745816953,0.24153249302674137,2.5789999961853027,-1.366614247204325,-78.30122858725599,4,2,0,3
000256,3,60,41.57223842146993,14.838505190627236,-0.6874999850988388,3.837122634703963,0.8637645151442224,0.582999974489212,-0.22246260187233285,-12.746168186783798,7,3,0,3
000250,4,4,31.901526873347798,14.76841083064073,0.10850000381469727,2.872064987784597,1.7252492322255288,2.6089999675750732,0.925137557190047,53.00647749603252,1,1,0,4
000253,4,5,30.076974691360842,15.237005128126281,-0.16949999332427979,1.52795359649718,1.5807797974671312,3.0810000896453857,-0.8907402926160901,-51.03565940914993,4,2,0,4
000255,4,5,30.785327150494727,14.248086764530534,0.041499972343444824,2.9162000029220083,2.0029618277578605,2.6389999389648438,-0.32424277558628944,-18.577742578701873,6,3,0,4
000256,4,57,29.1132543280469,15.294107539886282,-0.581500006839633,3.178197158769611,0.4890959403933002,1.0570000149309635,-0.10736412416716647,-6.151511185897163,7,4,0,4
000250,5,5,21.902833481218305,10.926761519213157,-0.171999990940094,3.80633554351364,1.0135866134611595,2.4380000829696655,0.3994329751288494,22.885823673237052,1,1,0,5
000252,5,28,20.491419754101866,9.065776156822247,-0.5769999846816063,1.931861105451311,0.8194035567614388,1.2119999676942825,-1.1911732133846369,-68.24919779597592,3,2,0,5
000255,5,95,20.746710326430648,10.351591651832916,-1.0055000185966492,4.066211468793247,1.7118690432598098,0.8830000162124634,1.0100168009795045,57.86969993343044,6,3,0,5
000258,5,6,21.566874235167962,10.204687339639284,0.7989999949932098,1.0830165261321256,0.5353400907360976,0.46199995279312134,-0.697104853782918,-39.94116599984556,9,4,0,5
000260,5,31,19.429329497078196,9.204986565987317,-0.6150000020861626,0.8166093082835564,0.5210119509267211,1.575999990105629,0.658850406472632,37.74934762136059,11,5,0,5
000250,18,39,33.825129896081854,11.785806483217048,-1.612500011920929,1.3949995639423576,0.4803396227853097,0.45899999141693115,-1.3867342248089392,-79.45401838789812,1,1,0,4
000252,18,14,35.41046261790018,10.439864010334421,-0.08050000667572021,2.673940001070449,2.150886142753637,2.246999979019165,1.3470130529109023,77.17816288082696,3,2,0,4
000253,18,2,35.57886151217574,8.77125280177098,0.24700000882148743,0.5611588903511433,0.4670187262638411,2.4160000681877136,-1.1105546059237437,-63.630091838244844,4,3,0,4
000254,18,2,35.20152781346976,10.704722366104603,0.3530000150203705,1.6539259289046746,0.6047728612531387,2.240000069141388,-0.16602919809524394,-9.512772326798965,5,4,0,4
000251,26,11,1.7362991117694224,-6.090913540777044,-0.4740000218153,3.9794326122489805,2.754668917282271,1.8860000669956207,0.36304362345878227,20.80086740332487,1,1,0,4
000253,26,13,0.3081041400528486,-4.475675927155734,-0.41999998688697815,0.614502747180487,0.2843678542170985,1.5619999766349792,0.018989601098993874,1.0880239976093387,3,2,0,4
000254,26,9,1.5395122742493705,-3.8856522351551868,-0.49400003254413605,4.588598984101056,3.0572076905439123,1.6980000436306,-1.152218484337177,-66.0172562294808,4,3,0,4
000255,26,108,0.7805076866164337,-4.619601092763593,-1.5190000236034393,1.4186254150124362,1.5503773632227644,1.2179999947547913,-0.8801791303403685,-50.430549383998304,5,4,0,4
000251,37,22,25.08169922086427,-2.9190532361609027,0.5424999874085188,1.7393829650921981,0.7996433077488536,1.066999975591898,-1.016529882892813,-58.242872038686016,1,1,0,4
000253,37,25,25.605112711356444,-4.723863404963908,0.06650000810623169,0.424803078637073,0.39830873178864734,2.041000008583069,0.6736002899014087,38.594453690139446,3,2,0,4
000255,37,32,25.828617037833727,-6.546498517577918,-0.0964999794960022,0.4790631734020425,0.5101259640351984,2.419000029563904,0.40100401790297785,22.975837793629136,5,3,0,4
000258,37,27,26.820454472862806,-5.477301104088985,0.23399996757507324,0.7938667129286519,0.4057809452295551,1.805999994277954,1.3625749630209516,78.06979465129474,8,4,0,4
000251,48,40,8.737503258931033,9.503597593690493,-0.902999997138977,0.8173128613187977,0.4823141340240905,1.0759999752044678,-1.2594787625135055,-72.16281747838359,1,1,0,3
000254,48,5,9.046802833411057,11.91361602759584,0.26650001108646393,1.8648090958910006,0.2448503600890519,0.9350000321865082,-1.5690569490981396,-89.90034099899664,4,2,0,3
000257,48,9,9.924688105128405,13.572216169963355,-0.2239999771118164,1.5974809394879816,0.9148791295701759,1.9679999351501465,1.3107617685755446,75.10111728648224,7,3,0,3
